Hostname,SistemaOperacional,EspacoLivreAntesGB,EspacoLivreDepoisGB,EspacoRecuperadoGB,Data
SRV-0001,Windows Server 2016,35.72,38.02,2.3,2025-02-16
SRV-0002,Windows Server 2019,7.51,11.82,4.31,2025-02-16
SRV-0003,Windows Server 2016,45.44,48.23,2.79,2025-02-16
SRV-0004,Windows Server 2019,19.09,22.53,3.44,2025-02-16
SRV-0005,Windows Server 2022,15.8,16.69,0.89,2025-02-16
SRV-0006,Windows Server 2022,25.81,28.57,2.76,2025-02-16
SRV-0007,Windows Server 2022,17.84,21.11,3.27,2025-02-16
SRV-0008,Windows Server 2022,29.85,33.59,3.74,2025-02-16
SRV-0009,Windows Server 2016,41.09,45.82,4.73,2025-02-16
SRV-0010,Windows Server 2016,44.65,48.48,3.83,2025-02-16
SRV-0011,Windows Server 2016,36.43,37.18,0.75,2025-02-16
SRV-0012,Windows Server 2019,30.3,31.98,1.68,2025-02-16
SRV-0013,Windows Server 2019,5.42,9.88,4.46,2025-02-16
SRV-0014,Windows Server 2016,28.02,31.17,3.15,2025-02-16
SRV-0015,Windows Server 2019,36.54,41.34,4.8,2025-02-16
SRV-0016,Windows Server 2019,40.16,43.17,3.01,2025-02-16
SRV-0017,Windows Server 2022,12.76,16.82,4.06,2025-02-16
SRV-0018,Windows Server 2022,44.69,44.85,0.16,2025-02-16
SRV-0019,Windows Server 2019,18.4,19.4,1.0,2025-02-16
SRV-0020,Windows Server 2019,47.11,52.1,4.99,2025-02-16
SRV-0021,Windows Server 2019,15.12,17.63,2.51,2025-02-16
SRV-0022,Windows Server 2019,39.25,40.6,1.35,2025-02-16
SRV-0023,Windows Server 2022,34.78,36.77,1.99,2025-02-16
SRV-0024,Windows Server 2016,32.12,33.05,0.93,2025-02-16
SRV-0025,Windows Server 2019,37.64,38.41,0.77,2025-02-16
SRV-0026,Windows Server 2022,18.52,22.72,4.2,2025-02-16
SRV-0027,Windows Server 2016,34.34,38.59,4.25,2025-02-16
SRV-0028,Windows Server 2016,43.8,47.94,4.14,2025-02-16
SRV-0029,Windows Server 2019,18.27,19.23,0.96,2025-02-16
SRV-0030,Windows Server 2019,35.12,38.59,3.47,2025-02-16
SRV-0031,Windows Server 2019,42.87,46.32,3.45,2025-02-16
SRV-0032,Windows Server 2022,30.65,32.8,2.15,2025-02-16
SRV-0033,Windows Server 2019,16.31,18.77,2.46,2025-02-16
SRV-0034,Windows Server 2022,24.25,29.04,4.79,2025-02-16
SRV-0035,Windows Server 2019,31.01,33.45,2.44,2025-02-16
SRV-0036,Windows Server 2016,17.01,19.26,2.25,2025-02-16
SRV-0037,Windows Server 2019,17.91,18.17,0.26,2025-02-16
SRV-0038,Windows Server 2022,17.94,20.51,2.57,2025-02-16
SRV-0039,Windows Server 2022,29.05,31.96,2.91,2025-02-16
SRV-0040,Windows Server 2022,13.28,15.31,2.03,2025-02-16
SRV-0041,Windows Server 2016,22.38,24.58,2.2,2025-02-16
SRV-0042,Windows Server 2016,8.84,12.05,3.21,2025-02-16
SRV-0043,Windows Server 2022,46.15,46.65,0.5,2025-02-16
SRV-0044,Windows Server 2019,8.51,12.25,3.74,2025-02-16
SRV-0045,Windows Server 2019,37.83,41.03,3.2,2025-02-16
SRV-0046,Windows Server 2019,35.03,35.64,0.61,2025-02-16
SRV-0047,Windows Server 2019,18.49,20.55,2.06,2025-02-16
SRV-0048,Windows Server 2019,48.01,49.33,1.32,2025-02-16
SRV-0049,Windows Server 2019,29.15,32.24,3.09,2025-02-16
SRV-0050,Windows Server 2019,22.55,26.53,3.98,2025-02-16
SRV-0051,Windows Server 2016,11.04,15.52,4.48,2025-02-16
SRV-0052,Windows Server 2019,30.78,31.35,0.57,2025-02-16
SRV-0053,Windows Server 2016,39.54,41.94,2.4,2025-02-16
SRV-0054,Windows Server 2022,22.59,25.65,3.06,2025-02-16
SRV-0055,Windows Server 2019,14.48,16.04,1.56,2025-02-16
SRV-0056,Windows Server 2019,14.26,18.56,4.3,2025-02-16
SRV-0057,Windows Server 2019,14.63,16.93,2.3,2025-02-16
SRV-0058,Windows Server 2016,29.76,34.1,4.34,2025-02-16
SRV-0059,Windows Server 2019,10.87,13.94,3.07,2025-02-16
SRV-0060,Windows Server 2019,17.22,17.37,0.15,2025-02-16
SRV-0061,Windows Server 2022,38.81,43.32,4.51,2025-02-16
SRV-0062,Windows Server 2022,30.61,30.89,0.28,2025-02-16
SRV-0063,Windows Server 2016,18.88,23.06,4.18,2025-02-16
SRV-0064,Windows Server 2022,26.09,29.75,3.66,2025-02-16
SRV-0065,Windows Server 2022,8.89,9.63,0.74,2025-02-16
SRV-0066,Windows Server 2016,44.81,46.69,1.88,2025-02-16
SRV-0067,Windows Server 2022,36.39,39.15,2.76,2025-02-16
SRV-0068,Windows Server 2019,41.32,44.6,3.28,2025-02-16
SRV-0069,Windows Server 2022,13.53,15.7,2.17,2025-02-16
SRV-0070,Windows Server 2019,40.5,42.81,2.31,2025-02-16
SRV-0071,Windows Server 2022,48.08,52.87,4.79,2025-02-16
SRV-0072,Windows Server 2016,17.01,18.36,1.35,2025-02-16
SRV-0073,Windows Server 2019,10.15,12.54,2.39,2025-02-16
SRV-0074,Windows Server 2019,38.31,43.31,5.0,2025-02-16
SRV-0075,Windows Server 2022,39.26,42.07,2.81,2025-02-16
SRV-0076,Windows Server 2019,47.54,47.76,0.22,2025-02-16
SRV-0077,Windows Server 2019,11.45,11.73,0.28,2025-02-16
SRV-0078,Windows Server 2016,22.77,24.64,1.87,2025-02-16
SRV-0079,Windows Server 2019,20.36,22.24,1.88,2025-02-16
SRV-0080,Windows Server 2022,23.55,24.73,1.18,2025-02-16
SRV-0081,Windows Server 2019,21.72,26.01,4.29,2025-02-16
SRV-0082,Windows Server 2019,45.63,47.43,1.8,2025-02-16
SRV-0083,Windows Server 2022,18.01,18.93,0.92,2025-02-16
SRV-0084,Windows Server 2022,38.44,41.55,3.11,2025-02-16
SRV-0085,Windows Server 2019,40.79,42.99,2.2,2025-02-16
SRV-0086,Windows Server 2019,45.64,49.69,4.05,2025-02-16
SRV-0087,Windows Server 2019,19.79,24.52,4.73,2025-02-16
SRV-0088,Windows Server 2016,15.84,19.85,4.01,2025-02-16
SRV-0089,Windows Server 2016,12.1,14.35,2.25,2025-02-16
SRV-0090,Windows Server 2016,41.32,42.13,0.81,2025-02-16
SRV-0091,Windows Server 2022,47.34,50.34,3.0,2025-02-16
SRV-0092,Windows Server 2019,30.89,34.03,3.14,2025-02-16
SRV-0093,Windows Server 2022,49.07,49.77,0.7,2025-02-16
SRV-0094,Windows Server 2019,8.46,10.89,2.43,2025-02-16
SRV-0095,Windows Server 2022,10.68,12.93,2.25,2025-02-16
SRV-0096,Windows Server 2019,13.66,14.06,0.4,2025-02-16
SRV-0097,Windows Server 2019,15.21,16.26,1.05,2025-02-16
SRV-0098,Windows Server 2022,10.77,11.16,0.39,2025-02-16
SRV-0099,Windows Server 2019,38.24,38.37,0.13,2025-02-16
SRV-0100,Windows Server 2019,26.99,31.27,4.28,2025-02-16
SRV-0101,Windows Server 2019,19.15,21.75,2.6,2025-02-16
SRV-0102,Windows Server 2019,38.32,38.79,0.47,2025-02-16
SRV-0103,Windows Server 2022,37.09,38.61,1.52,2025-02-16
SRV-0104,Windows Server 2016,25.78,29.27,3.49,2025-02-16
SRV-0105,Windows Server 2022,45.75,47.71,1.96,2025-02-16
SRV-0106,Windows Server 2022,10.47,14.66,4.19,2025-02-16
SRV-0107,Windows Server 2022,39.07,43.86,4.79,2025-02-16
SRV-0108,Windows Server 2019,45.31,47.46,2.15,2025-02-16
SRV-0109,Windows Server 2022,24.05,25.87,1.82,2025-02-16
SRV-0110,Windows Server 2019,12.37,14.32,1.95,2025-02-16
SRV-0111,Windows Server 2016,35.47,35.62,0.15,2025-02-16
SRV-0112,Windows Server 2019,39.3,42.69,3.39,2025-02-16
SRV-0113,Windows Server 2019,24.01,24.51,0.5,2025-02-16
SRV-0114,Windows Server 2022,28.21,29.68,1.47,2025-02-16
SRV-0115,Windows Server 2019,29.56,31.39,1.83,2025-02-16
SRV-0116,Windows Server 2022,13.48,14.37,0.89,2025-02-16
SRV-0117,Windows Server 2019,26.19,29.54,3.35,2025-02-16
SRV-0118,Windows Server 2019,19.72,23.6,3.88,2025-02-16
SRV-0119,Windows Server 2022,48.23,49.98,1.75,2025-02-16
SRV-0120,Windows Server 2019,22.72,26.81,4.09,2025-02-16
SRV-0121,Windows Server 2022,33.11,34.64,1.53,2025-02-16
SRV-0122,Windows Server 2019,22.21,26.58,4.37,2025-02-16
SRV-0123,Windows Server 2022,37.84,39.65,1.81,2025-02-16
SRV-0124,Windows Server 2019,14.25,15.75,1.5,2025-02-16
SRV-0125,Windows Server 2019,48.04,49.98,1.94,2025-02-16
SRV-0126,Windows Server 2019,29.99,30.12,0.13,2025-02-16
SRV-0127,Windows Server 2016,8.86,8.98,0.12,2025-02-16
SRV-0128,Windows Server 2019,34.61,35.84,1.23,2025-02-16
SRV-0129,Windows Server 2022,16.96,19.23,2.27,2025-02-16
SRV-0130,Windows Server 2019,29.0,31.79,2.79,2025-02-16
SRV-0131,Windows Server 2016,49.8,52.89,3.09,2025-02-16
SRV-0132,Windows Server 2016,15.0,17.09,2.09,2025-02-16
SRV-0133,Windows Server 2016,7.06,8.18,1.12,2025-02-16
SRV-0134,Windows Server 2019,43.52,48.29,4.77,2025-02-16
SRV-0135,Windows Server 2022,13.3,16.16,2.86,2025-02-16
SRV-0136,Windows Server 2022,15.18,16.26,1.08,2025-02-16
SRV-0137,Windows Server 2022,49.29,49.94,0.65,2025-02-16
SRV-0138,Windows Server 2016,10.66,13.02,2.36,2025-02-16
SRV-0139,Windows Server 2022,42.07,46.63,4.56,2025-02-16
SRV-0140,Windows Server 2019,48.32,49.7,1.38,2025-02-16
SRV-0141,Windows Server 2019,5.62,9.13,3.51,2025-02-16
SRV-0142,Windows Server 2019,40.96,45.95,4.99,2025-02-16
SRV-0143,Windows Server 2019,24.72,29.46,4.74,2025-02-16
SRV-0144,Windows Server 2016,21.19,25.27,4.08,2025-02-16
SRV-0145,Windows Server 2019,36.1,37.96,1.86,2025-02-16
SRV-0146,Windows Server 2022,49.86,53.18,3.32,2025-02-16
SRV-0147,Windows Server 2019,42.96,45.23,2.27,2025-02-16
SRV-0148,Windows Server 2019,10.07,14.28,4.21,2025-02-16
SRV-0149,Windows Server 2022,37.4,42.21,4.81,2025-02-16
SRV-0150,Windows Server 2016,49.63,52.2,2.57,2025-02-16
SRV-0151,Windows Server 2019,17.88,19.16,1.28,2025-02-16
SRV-0152,Windows Server 2019,34.29,35.43,1.14,2025-02-16
SRV-0153,Windows Server 2019,47.03,49.95,2.92,2025-02-16
SRV-0154,Windows Server 2019,11.22,16.11,4.89,2025-02-16
SRV-0155,Windows Server 2019,48.15,51.88,3.73,2025-02-16
SRV-0156,Windows Server 2019,21.82,26.19,4.37,2025-02-16
SRV-0157,Windows Server 2016,18.22,18.86,0.64,2025-02-16
SRV-0158,Windows Server 2019,10.27,11.24,0.97,2025-02-16
SRV-0159,Windows Server 2022,18.5,22.79,4.29,2025-02-16
SRV-0160,Windows Server 2016,34.3,37.39,3.09,2025-02-16
SRV-0161,Windows Server 2022,21.83,22.32,0.49,2025-02-16
SRV-0162,Windows Server 2022,43.18,47.5,4.32,2025-02-16
SRV-0163,Windows Server 2022,19.72,21.06,1.34,2025-02-16
SRV-0164,Windows Server 2022,22.44,25.54,3.1,2025-02-16
SRV-0165,Windows Server 2016,46.77,49.65,2.88,2025-02-16
SRV-0166,Windows Server 2019,45.36,47.57,2.21,2025-02-16
SRV-0167,Windows Server 2019,39.22,43.79,4.57,2025-02-16
SRV-0168,Windows Server 2019,12.51,17.49,4.98,2025-02-16
SRV-0169,Windows Server 2019,12.19,15.72,3.53,2025-02-16
SRV-0170,Windows Server 2022,30.1,33.98,3.88,2025-02-16
SRV-0171,Windows Server 2022,31.4,33.3,1.9,2025-02-16
SRV-0172,Windows Server 2019,9.39,14.16,4.77,2025-02-16
SRV-0173,Windows Server 2019,47.95,52.02,4.07,2025-02-16
SRV-0174,Windows Server 2016,44.93,49.09,4.16,2025-02-16
